click,delay
1,0.25
2,0.2300000000000182
3,0.23999999999978172
4,0.25
5,0.23999999999978172
6,0.2300000000000182
7,0.2300000000000182
8,0.2300000000000182
9,0.23999999999978172
10,0.23999999999978172
11,0.25
12,0.2300000000000182
13,0.25
14,0.2600000000002183
15,0.25
16,0.25
17,0.25
18,0.25
19,0.25
20,0.25
21,0.27999999999974534
22,0.2699999999999818
23,0.2600000000002183
24,0.27999999999974534
25,0.2699999999999818
26,0.2699999999999818
27,0.27999999999974534
28,0.2800000000002001
29,0.2800000000002001
30,0.27999999999974534
31,0.4299999999998363
32,0.5399999999999636
33,0.38999999999987267
34,0.3900000000003274
35,0.42000000000007276
36,0.4099999999998545
37,0.4299999999998363
38,0.41000000000030923
39,0.419999999999618
40,0.42000000000007276
41,0.41000000000030923
42,0.419999999999618
43,0.44000000000005457
44,0.42000000000007276
45,0.42000000000007276
46,0.4299999999998363
47,0.49000000000023647
48,0.4699999999997999
49,0.5599999999999454
50,0.4800000000000182
51,0.5100000000002183
52,0.5
53,0.5399999999999636
54,0.5599999999999454
55,0.5300000000002001
56,0.5599999999999454
57,0.5599999999999454
58,0.5500000000001819
59,0.569999999999709
60,0.5799999999999272
61,0.6100000000001273
62,0.6199999999998909
63,0.6300000000001091
64,0.6399999999998727
65,0.6200000000003456
66,0.6399999999998727
67,0.6599999999998545
68,0.75
69,0.42000000000007276
70,0.4099999999998545
71,0.40000000000009095
72,0.42000000000007276
73,0.4299999999998363
74,1.4699999999998
75,1.1700000000000728
76,0.4699999999997999
77,0.47000000000025466
78,0.4499999999998181
79,0.4600000000000364
80,0.7100000000000364
81,1.5399999999999636
82,0.7600000000002183
83,0.4800000000000182
84,0.5
85,0.4899999999997817
86,0.8400000000001455
87,1.7400000000002365
88,0.8399999999996908
89,0.5199999999999818
90,0.5100000000002183
91,1.1100000000001273
92,1.949999999999818
93,0.5799999999999272
94,0.5300000000002001
95,0.5299999999997453
96,0.5300000000002001
97,2.6700000000000728
98,0.5799999999999272
99,0.5399999999999636
100,0.5399999999999636
101,1.0700000000001637
102,1.8299999999999272
103,1
104,0.5900000000001455
105,0.5899999999996908
106,1.1400000000003274
107,2.3899999999998727
108,0.6399999999998727
109,0.6100000000001273
110,0.6199999999998909
111,1.25
112,2.5399999999999636
113,0.650000000000091
114,0.6300000000001091
115,0.6399999999998727
116,1.3600000000001273
117,2.8399999999996908
118,1.5700000000001637
119,0.7199999999997999
120,0.7100000000000364
121,0.6900000000000546
122,1.4200000000000728
123,3.119999999999891
124,1.7200000000002547
125,0.75
126,0.7199999999997999
127,0.7199999999997999
128,1.6900000000000546
129,3.3099999999999454
130,0.8000000000001819
131,0.75
132,0.7400000000002365
133,1.6900000000000546
134,3.4900000000002365
135,0.8099999999999454
136,0.7999999999997272
137,0.7899999999999636
138,2.4400000000000546
139,2.0599999999999454
140,0.830000000000382
141,2.3399999999996908
142,3.3600000000001273
143,2.050000000000182
144,0.8599999999996726
145,0.8800000000001091
146,0.8399999999996908
147,2.730000000000018
148,2.3200000000001637
149,0.8800000000001091
150,2.200000000000273
151,3.6599999999998545
152,1.0099999999997635
153,0.9900000000002365
154,2.400000000000091
155,3.849999999999909
156,0.9699999999997999
157,0.9600000000000364
158,2.25
159,3.9600000000000364
160,1
161,0.9800000000000182
162,2.4900000000002365
163,4.109999999999673
164,1.180000000000291
165,1.1299999999996544
166,2.5
167,4.370000000000346
168,1.099999999999909
169,1.1199999999998909
170,2.6399999999998727
171,2.8600000000001273
172,1.0799999999999272
173,2.6700000000000728
174,4.75
175,1.1399999999998727
176,1.1400000000003274
177,2.8599999999996726
178,4.760000000000218
179,1.2100000000000364
180,1.1600000000003092
181,4.190000000000055
182,4.399999999999636
183,1.2699999999999818
184,1.2300000000000182
185,4.019999999999982
186,4.320000000000164
187,1.25
188,1.2599999999997635
189,4.269999999999982
190,4.470000000000255
191,1.2899999999999636
192,1.2699999999999818
193,4.430000000000291
194,4.649999999999636
195,1.3900000000003274
196,1.3299999999999272
197,4.600000000000364
198,4.779999999999745
199,1.3699999999998909
200,1.3900000000003274
